福	祝福,しゅくふく, blessing
幸福,こうふく, happiness;  well-being;
裕福,ゆうふく, wealthy;  rich;

球	地球,ちきゅう, Earth;  the globe
球,きゅう, sphere;  counter for balls
野球,やきゅう, baseball

酒	酒,さけ, alcohol;sake
お酒,おさけ, alcohol;  sake
酒場,さかば, bar;  pub;

君	君,きみ, you;  buddy;
君,くん, Mr (junior);  master;
君たち,きみたち, you (plural);  all of you;

察	警察,けいさつ, police;  police officer;
察する,さっする, to guess;  to sense;
観察,かんさつ, observation;  survey;

望	望む,のぞむ, to desire;  to wish for;
希望,きぼう, hope;  wish;
絶望,ぜつぼう, despair;  hopelessness

婚	結婚,けっこん, marriage
婚約者,こんやくしゃ, fiance;  fiancee
婚約,こんやく, engagement;  betrothal

単	簡単,かんたん, simple;  easy;
単純,たんじゅん, simple;  plain;
単に,たんに, simply;  merely;

押	押す,おす, to push;  to press;
押さえる,おさえる, to pin down;  to hold down;
押しつける,おしつける, to press against;  to push against;

割	割れる,われる, to break;  to be smashed;
役割,やくわり, part;  assigning (allotment of) parts;
割る,わる, to divide;  to cut;

限	限り,かぎり, limit;  limits;
限界,げんかい, limit;  bound
限る,かぎる, to restrict;  to limit;

戻	戻る,もどる, to turn back (e.g. half-way);  to return;
戻ってくる,もどってくる, to come back
戻す,もどす, to put back;  to return;

科	教科書,きょうかしょ, textbook;  coursebook;
科学,かがく, science
科,か, department;  section;

求	求める,もとめる, to want;  to wish for;
要求,ようきゅう, demand;  firm request;
欲求,よっきゅう, desire;  want;

談	冗談,じょうだん, jest;  joke;
相談,そうだん, consultation;  discussion;
冗談じゃない,じょうだんじゃない, it's no joke;  gimme a break!

降	降りる,おりる, to descend (e.g. a mountain);  to go down;
降る,ふる, to fall (of rain, snow, ash, etc.);  to come down;
以降,いこう, on and after;  as from;

妻	妻,つま, wife; 
夫妻,ふさい, husband and wife;  married couple
稲妻,いなずま, lightning;  flash of lightning;

岡	岡,おか, hill;  height;
福岡,ふくおか, Fukuoka (city, prefecture)
静岡,しずおか, Shizuoka (city, prefecture)

熱	熱い,あつい, hot (thing);  passionate (feelings, etc.);
熱,ねつ, heat;  fever;
熱心,ねっしん, zealous;  enthusiastic;

浮	浮かべる,うかべる, to float;  to set afloat;
浮かぶ,うかぶ, to float;  to be suspended;
浮く,うく, to float;  to become merry;

等	等,とう, class;  order;
等しい,ひとしい, equal;  identical;
上等,じょうとう, superior;  first-class;

末	始末,しまつ, management;  dealing with;
結末,けつまつ, end;  conclusion
末,すえ, end;  tip;

幸	幸せ,しあわせ, happiness;  good fortune;
幸い,さいわい, happiness;  blessedness;
不幸,ふこう, unhappiness;  sorrow;

草	草,くさ, grass;  weed;
仕草,しぐさ, gesture;  movement;
薬草,やくそう, medicinal herb

越   越える,こえる, to cross over;  to cross;
乗り越える,のりこえる, to climb over;  to get over;
越し,ごし, across;  over;

登   登場,とうじょう, entry (on stage);  appearance (on screen);
登る,のぼる, to ascend;  to go up;
登録,とうろく, registration;  accession;

類   種類,しゅるい, variety;  kind;
書類,しょるい, document;  official papers
人類,じんるい, mankind;  humanity

未   未来,みらい, the future (usually distant);  future tense;
未だに,いまだに, still;  even now;
未だ,まだ, still;  as yet;

規   規模,きぼ, scale;  scope;
大規模,だいきぼ, large-scale
規則,きそく, rule;  regulation

精   精神,せいしん, mind;  spirit;
精一杯,せいいっぱい, the best one can do;  one's best effort;
精神的,せいしんてき, mental;  spiritual;

抱   抱える,かかえる, to hold in one's arms;  to carry in one's arms;
抱く,いだく, to hold in one's arms (e.g. a baby);  to embrace;
抱きしめる,だきしめる, to hug someone close;  to hold someone tight;

労   苦労,くろう, trouble;  hardship;
疲労,ひろう, fatigue;  weariness;
ご苦労,ごくろう, trouble (I have put you through);  (your) hard work;

処   処理,しょり, processing;  dealing with;
対処,たいしょ, dealing with;  coping with
処分,しょぶん, disposal;  throwing away;

退   退屈,たいくつ, tedium;  boredom;
撤退,てったい, evacuation;  withdrawal;
退く,しりぞく, to step back;  to move back;

費   消費,しょうひ, consumption;  expenditure
費用,ひよう, cost;  expense
費やす,ついやす, to spend;  to expend;

非   非常,ひじょう, emergency;  extraordinary;
非難,ひなん, criticism;  blame;
是非,ぜひ, certainly;  without fail;

喜   喜ぶ,よろこぶ, to be delighted;  to be glad;
喜び,よろこび, joy;  delight;
歓喜,かんき, delight;  great joy

娘   娘,むすめ, daughter;  girl (i.e. a young, unmarried woman)
小娘,こむすめ, young girl;  lass;
娘さん,むすめさん, daughter

逃   逃げる,にげる, to escape;  to run away
逃げ出す,にげだす, to run away;  to flee;
逃がす,にがす, to set free;  to let go;

探   探す,さがす, to search for;  to look for;
探る,さぐる, to feel around for;  to fumble for;
探索,たんさく, search;  lookup;

